Country,Country ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-21.78613345,-9.473558415,-15.76160582,-88.86165521,-12.39093458,-5.361153095,-14.74420524,-52.62617406,-2.544708833,-9.886790427,2.145306321,26.00937499,5.215823291,-7.830568836,-5.210288416,-7.667833361,-16.9817567,20.66884348,no data,no data
Albania,ALB,no data,no data,no data,no data,19.20320914,18.1559185,48.19605016,10.89469789,1.366931627,9.667732029,-4.365553975,5.75431112,-6.01817813,-4.593336763,1.264369016,-2.593207499,-5.539206818,2.969342404,8.215364977,-3.284604912,2.927662161,4.579376527,5.489458207,6.867083401,3.769919064,-0.399107548,-3.122562432,-3.579461031,-2.780872878,13.26892832,-1.730817699,-9.156606956
Algeria,DZA,3.778007046,-2.13042004,39.07739208,0.473758121,6.174896683,-5.413545566,-12.25777582,0.413697086,-12.78492238,-23.3517377,-6.371610752,-5.511614268,-19.28253975,-14.92692,-25.27479293,-10.16960844,-42.85767268,-40.34901625,21.32841432,7.333852316,-11.79320687,0.771029354,-23.93554522,7.962333515,14.0369369,134.0267112,33.28897131,40.83576299,20.01731524,12.94982124,20.78976121,-16.59459483
Angola,AGO,no data,no data,no data,no data,no data,-33.39460903,-20.14291812,31.14314993,8.808707696,-2.843076593,-15.2407773,-35.03683065,-21.38480244,-17.68355079,-29.86986896,-44.03308952,12.359069,49.11132036,79.43090668,-33.99403707,-20.46432722,-9.70019279,24.19785887,20.09331338,43.41435174,32.52513164,-8.378996508,34.14765497,22.10782658,22.31791675,-37.46407824,-22.80740268
Antigua and Barbuda,ATG,1.023657964,-3.628621162,-5.585538388,-0.54450167,9.666990288,-6.762267959,-5.073810933,17.91096348,1.943066146,0.506490477,12.19260748,7.078893258,-0.969407375,-3.95673398,-22.90298619,-3.793672454,-12.70119733,-2.307438527,32.4293289,-10.82159788,2.296597069,-4.693657391,9.482879,5.823178945,-2.2668086,-13.06674665,7.044151629,-4.873643141,-7.353228143,24.8934292,0.867855309,-11.52377574
Argentina,ARG,-26.39175148,-15.6862758,-3.152944011,5.701430366,8.173495986,5.858241224,-2.687968523,7.801164809,13.96937662,4.922921271,17.56865321,206.6296946,-14.9731879,-5.819503607,-31.89407501,-11.81975185,-12.23287157,-13.38885596,2.942046868,-21.55847348,-10.40048844,3.855654817,7.567558955,2.760664182,17.59809264,0.946558649,7.477664801,49.48191617,4.209813108,15.70853543,-21.26403082,4.365567467
Armenia,ARM,no data,no data,no data,no data,no data,no data,14.0289292,-2.825537043,-13.27408586,1.012077302,-3.879070529,0.489969509,-13.67883809,-19.89926901,-22.60734698,-20.93240401,-11.94713851,2.683120907,133.3129333,-1.115901423,5.762891872,-0.285443811,2.050919717,8.342848289,12.12184785,17.66459138,3.419156563,-4.602736782,-2.238154419,26.72990577,-5.082210837,-18.21574937
Australia,AUS,-1.378579518,19.82644277,23.96754641,12.45955062,11.21281812,-3.352826086,-4.068343987,-20.62168241,-5.187509438,-11.3051693,-12.50453777,-13.93838507,-12.97192191,-9.976286123,-9.090694334,-10.82603138,-7.343782433,25.2416896,51.12351418,23.9194664,19.34314254,13.24913821,10.45190996,15.76094066,15.69276749,11.14979206,2.382834067,1.660017496,11.13776298,19.2628022,-6.012078948,-5.796994572
Austria,AUT,1.51812608,0.131507212,8.127071041,5.359586344,4.782825176,0.65805306,2.198642885,0.009524798,1.81735879,-2.357994948,-2.569179516,-0.70427687,0.09627307,2.212434946,-0.548850445,-2.491719945,-4.317784895,6.242853429,6.231402992,1.993823971,-1.131449856,0.711459189,0.656448913,-1.634824305,-1.799725516,0.446446614,-1.556219434,-3.941779498,-4.318227198,18.81315037,-0.033724988,-3.055160978
Azerbaijan,AZE,no data,no data,no data,no data,64.56093361,-12.95153824,-25.45003388,14.64100144,77.83317937,-10.13842834,6.787718143,-5.616237193,-5.167340436,-55.51647361,-29.40607964,-22.72917862,-24.41790307,-19.54760378,46.74097943,5.388779713,-0.281120615,17.39000442,5.972527799,38.09436216,110.7252406,14.61555088,9.220947289,-16.98559758,-5.508068527,20.79186337,24.00488799,-21.82400753
