Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,12.30878691,41.87519797,17.4592543,23.37958563,17.27006625,16.84077772,12.50854516,6.393895119,12.59047812,5.226239569,3.151331792,4.590348148,13.08177154,10.41699566,2.305470755,5.887435776,10.48571118,8.87588513,3.215753579,6.191747254,2.373495962,3.300595717,16.5640586,5.749623934,-0.281333966,0.12679896,8.250490724,-3.72016846,5.598420413,9.452578891,9.500906726,1.764112903,3.231208283,4.398089972,4.871536744,,
Africa Eastern and Southern,AFE,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Broad money growth (annual %),FM.LBL.BMNY.ZG,,10.29185868,17.82729805,15.57919622,22.88811618,17.42676431,0.085046067,-0.368219799,16.75195451,18.00085226,7.212133719,11.30786257,13.93740273,7.630141144,13.47340219,12.45580788,24.19609707,27.99608515,16.26291204,18.56403603,16.85329232,17.44982155,17.95870601,,,10.40950708,12.32956145,50.69047792,34.53083266,37.15664752,40.59457548,,,,,,,,,,,,,,,,,42.39516401,31.38381712,33.04506797,26.9471277,21.30916836,8.727729452,9.914483311,8.135571545,3.079021968,9.72542826,4.093274968,2.574153785,5.704360373,12.06374669,,
Africa Western and Central,AFW,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4105.572818,71.94430896,57.64813439,528.1943258,303.7354986,163.0031039,156.3406805,68.09831436,48.55196533,60.70599438,59.85092525,49.42143639,104.5661242,21.47568088,5.287800928,37.14695603,4.898187445,14.14659565,16.18919725,11.77631343,13.46824221,0.625449002,20.42805983,30.11411805,24.30076542,-9.322347297,-1.413168253
Albania,ALB,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.81986707,43.83673834,28.46601791,20.63935656,22.27110839,12.02926239,19.90645586,3.740377041,8.673302852,13.46121864,14.12521463,16.04623885,13.67503414,7.667533427,6.837072453,12.48579986,9.167788795,4.976872401,2.276105785,4.013124685,1.764720649,3.88758243,0.274642648,-0.221006685,4.313638629,10.49019459,8.60129445,4.865258241
Andorra,AND,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,167.4598954,46.13867948,89.94580622,-7.246800688,13.1033817,3.679512054,29.10813065,23.66257768,15.64845877,8.011579282,28.96849092,6.436794852,4.389363856,5.499249177,5.854204587,8.652029101,-8.197759068,14.54282168,4.615917163,-1.576728863,7.897390923,10.21837492,6.859551874,9.043960341,4.197036021,11.45428409,15.32257332,21.94708945,10.52281461,15.17460614,23.73970045,30.64587553,23.30122683,41.40799397,21.27113442,8.079433239,6.277088975,5.079193604,4.487013155,22.74426356,7.912904735,5.45472478,3.255598799,4.135933184,2.530523713,8.004542842,4.630807704,5.709292598,8.995377553
Argentina,ARG,Broad money growth (annual %),FM.LBL.BMNY.ZG,,-0.35971223,10.10830325,33.1147541,41.37931034,27.00348432,31.55006859,53.80604797,28.06779661,20.91053467,20.84063047,8.695652174,110,74.6031746,54.54545455,152.9411765,353.4883721,227.1794872,172.5705329,187.4065555,91.75670268,82.58034224,165.2855959,395.9242584,654.9656188,428.1519468,113.0153232,163.1424872,442.8057059,2235.181906,1113.272406,141.3370403,62.48625439,46.48082501,17.64027017,-2.805550864,18.82056055,25.53473781,10.48809294,4.085589659,1.531033633,-19.43621848,19.70885389,29.63485278,21.42731049,21.51391856,20.2627351,24.46562561,8.064699994,16.99991627,33.10758922,26.03166313,34.82211435,27.08106016,29.82964762,39.57186047,41.54851926,30.45853347,47.40309364,25.81087836,66.42779667,51.25350148,84.8986476
