Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Afghanistan,AFG,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-0.098458076,-2.101669236,-2.392838255,-0.964605092,0.64330071,-2.49220017,-3.88197393,-1.779098075,0.921695012,-0.671821698,0.182057052,-0.63094557,-1.718796808,-1.377700329,0.127257984,-0.673105906,1.63419574,-1.058081118,-2.242799393,-0.328786844,no data,no data,no data,no data,no data,no data,no data
Albania,ALB,no data,no data,no data,no data,no data,no data,no data,-11.9020449,-9.925556476,-8.841427942,-7.772064132,-6.83716591,-6.211610794,-5.006109116,-5.162748126,-3.457787955,-3.263216216,-3.179136855,-4.884198091,-6.586478234,-3.520121859,-3.516311953,-3.440600383,-5.215218883,-5.457544155,-4.317810633,-1.497589914,-1.405554028,-1.620354385,-1.866473994,-6.699743741,-4.591570486,-3.658240487,-2.512499067,-2.828467273,-3.176949427,-3.686150976,-3.68181032,-3.678396844
Algeria,DZA,3.636363636,1.655198972,-1.137454971,-8.454397827,-4.396396396,-1.408635455,2.928287938,2.378461981,-3.820326984,-1.986948146,9.672705226,3.420666651,0.232930928,7.814690707,6.853946106,11.85759058,13.53493642,4.885037439,8.212833687,-7.153131925,-1.485752832,-1.15516485,-4.385598658,-0.863256026,-7.984827554,-15.67758767,-13.38160734,-8.561093256,-6.845141834,-9.583475443,-11.89878225,-7.196061469,-2.857671694,-8.609390942,-12.00859324,-10.57717042,-9.680635148,-8.870191103,-8.54394265
Andorra,AND,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.657774718,0.977651404,1.764419603,1.854838389,-0.08142709,-1.435979671,-2.828197901,-3.191714902,-3.509616299,-0.34865241,0.404676959,-1.653065153,3.360411427,2.142889023,1.653796916,4.06812433,3.33796362,2.670696669,2.305909298,-1.065701837,-1.166473767,4.877177715,3.283439026,3.401563516,3.381830167,3.45429604,3.671742752,3.677398944
Angola,AGO,no data,no data,no data,no data,no data,no data,5.907380357,-0.304461474,-6.709324933,-10.64460822,2.289322438,3.176461513,-2.54244693,-4.684639627,1.183548751,7.17049401,9.422799441,4.311929563,-4.235149508,-7.89737672,3.394898885,8.081202716,4.131198072,-0.303788881,-5.720349848,-2.91724083,-4.520203839,-6.58631724,2.286937801,0.775834965,-1.931231857,3.830427117,0.675272163,-1.943111214,0.973873436,1.401455179,1.248971675,1.769869224,1.183314178
Anguilla,AIA,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-1.336539296,-2.701345892,-0.975093985,1.133992437,-3.107974502,-2.550158202,1.0078786,-1.628615089,-2.031878383,-8.434622955,0.048654569,2.768366334,3.076264341,0.668740791,2.58500915,0.461153524,-0.330063396,0.564449295,0.367498353,0.925376629,1.501798597,0.678870584,-0.676513467,1.915834349,3.016265424,4.344854756,4.80605534,5.081222385,5.395928808
Antigua and Barbuda,ATG,0.128247499,-4.093966451,-0.853787995,-2.584668853,-4.594858773,-4.15202049,-1.72663538,0,-1.758237992,-3.354726731,-4.909694801,-9.403600779,-9.737024014,-8.105929663,-4.353616039,-4.801961273,-7.460068307,-5.641053426,-5.361229688,-17.83589394,-0.276828407,-3.497147234,-1.108357026,-4.296054394,-2.869906408,-2.599867599,-0.145445707,-2.840849062,-2.471026985,-4.011792248,-6.155311395,-4.640310902,-3.726172595,-2.751281271,-1.925755141,-1.776484853,-1.408384139,-1.253725626,-1.268321863
Argentina,ARG,no data,no data,no data,-0.024283554,-1.249802355,-2.074606161,-2.810610432,-1.837621355,-1.827434359,-3.705086124,-3.416751183,-5.364146344,-1.910149902,1.500146081,3.96689503,3.340623023,1.650070275,0.756974472,0.351972892,-1.830044406,-1.393454664,-2.74564846,-3.0180556,-3.253828427,-4.252429085,-6.000558031,-6.654668983,-6.693341132,-5.441145258,-4.395052469,-8.588337133,-4.321065118,-3.84864218,-3.985361678,-3.726957718,-1.894407608,-0.519894456,-0.087965694,0.063339609
Armenia,ARM,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-1.97631943,-1.95039657,-2.334230983,-1.756524471,-7.686464728,-4.979424966,-2.874853729,-1.493404369,-1.592885554,-1.942693084,-4.836849405,-5.632308736,-4.78505359,-1.751595157,-0.977300943,-5.402747224,-4.589305847,-2.11098045,-2.692244058,-2.662948431,-2.486008467,-2.312995903,-1.950366515,-1.831070023
Aruba,ABW,no data,no data,no data,no data,no data,-0.833510998,-2.343489879,-2.102199417,0.113932757,0.08559493,0.644936007,-0.835328183,-3.168731839,1.896116711,-8.530897958,-2.957016451,-2.541460392,-1.045858066,1.465952186,-2.631133597,-3.486735322,-6.428929675,-8.954928639,-6.047696315,-7.458533675,-1.47528558,-1.454977006,-2.587020743,-2.641025534,-0.242567843,-16.23021576,-9.160815472,-0.46503382,0.815646291,0.239348289,0.458976881,0.694682331,0.940238056,1.174522085
